"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
竹山,2023/12/10,PM2.5,25,18,19,17,19,20,18,17,19,12,8,7,9,15,22,17,20,26,26,25,26,25,21,23
竹山,2023/12/11,PM2.5,24,24,24,24,20,20,22,25,23,21,24,22,25,31,33,36,40,29,38,34,33,30,42,32
竹山,2023/12/12,PM2.5,33,32,32,33,32,31,29,29,29,27,22,33,37,34,24,21,26,27,21,21,17,14,17,17
竹山,2023/12/13,PM2.5,9,10,10,16,16,11,15,15,12,19,17,25,30,#,32,22,29,30,28,36,36,31,30,28
竹山,2023/12/14,PM2.5,26,25,21,20,21,24,25,25,23,20,27,25,22,30,28,27,31,27,30,35,26,32,32,27
竹山,2023/12/15,PM2.5,31,24,22,23,18,20,20,26,26,25,21,28,29,31,30,26,18,21,18,18,18,12,15,13
竹山,2023/12/16,PM2.5,11,9,10,15,9,11,13,14,14,20,21,13,13,9,10,13,10,8,10,10,7,7,8,6
竹山,2023/12/17,PM2.5,6,12,11,9,11,9,6,11,10,11,14,13,20,25,23,16,17,25,29,28,14,16,17,15
竹山,2023/12/18,PM2.5,20,17,19,16,16,18,17,19,19,17,15,14,17,17,23,19,13,15,13,14,22,16,17,17
竹山,2023/12/19,PM2.5,13,19,17,14,14,15,13,13,18,9,10,15,17,18,15,18,20,20,16,17,10,10,8,9
竹山,2023/12/20,PM2.5,7,8,7,9,8,5,5,9,7,8,9,10,11,#,11,11,12,13,11,11,9,10,11,8
竹山,2023/12/21,PM2.5,8,7,6,8,7,9,9,10,9,10,12,15,17,17,17,24,19,21,18,20,13,14,18,11
竹山,2023/12/22,PM2.5,8,9,9,13,14,13,9,15,23,18,24,21,27,25,24,19,24,22,21,18,19,19,17,20
竹山,2023/12/23,PM2.5,19,24,20,21,23,24,26,26,31,28,25,35,33,38,27,32,20,25,33,29,36,29,24,19
竹山,2023/12/24,PM2.5,20,13,16,11,17,15,13,11,13,15,12,16,20,10,11,15,14,23,24,23,21,24,16,20
竹山,2023/12/25,PM2.5,16,14,20,20,19,19,18,18,22,11,16,18,#,26,19,25,24,30,28,24,26,25,24,29
竹山,2023/12/26,PM2.5,24,27,24,27,22,20,18,14,12,16,19,27,33,32,41,43,38,32,42,36,28,33,32,27
竹山,2023/12/27,PM2.5,25,27,30,28,29,29,30,32,32,36,30,33,39,33,31,24,32,34,29,25,33,27,28,31
竹山,2023/12/28,PM2.5,29,29,28,23,11,12,10,8,12,12,10,7,9,16,15,17,18,20,22,19,16,19,22,24
竹山,2023/12/29,PM2.5,19,20,21,18,11,9,9,10,15,14,11,8,14,16,27,31,28,27,26,28,31,27,24,26
