,date,time,pm_val
752,2023/10/03,8,12
753,2023/10/03,9,17
754,2023/10/03,10,19
755,2023/10/03,11,19
756,2023/10/03,12,15
757,2023/10/03,13,18
758,2023/10/03,14,20
759,2023/10/03,15,18
760,2023/10/03,16,15
761,2023/10/03,17,16
762,2023/10/03,18,20
763,2023/10/03,19,14
764,2023/10/03,20,14
765,2023/10/03,21,17
766,2023/10/03,22,17
767,2023/10/03,23,15
768,2023/10/04,0,17
769,2023/10/04,1,12
770,2023/10/04,2,15
771,2023/10/04,3,15
772,2023/10/04,4,13
773,2023/10/04,5,14
774,2023/10/04,6,14
775,2023/10/04,7,19
776,2023/10/04,8,20
777,2023/10/04,9,14
778,2023/10/04,10,12
779,2023/10/04,11,7
780,2023/10/04,12,9
781,2023/10/04,13,10
782,2023/10/04,14,12
783,2023/10/04,15,15
784,2023/10/04,16,10
785,2023/10/04,17,7
786,2023/10/04,18,7
787,2023/10/04,19,6
788,2023/10/04,20,6
789,2023/10/04,21,6
790,2023/10/04,22,4
791,2023/10/04,23,3
792,2023/10/05,0,2
793,2023/10/05,1,2
794,2023/10/05,2,3
795,2023/10/05,3,6
796,2023/10/05,4,6
797,2023/10/05,5,4
798,2023/10/05,6,2
799,2023/10/05,7,1
800,2023/10/05,8,1
801,2023/10/05,9,4
802,2023/10/05,10,7
803,2023/10/05,11,12
804,2023/10/05,12,18
805,2023/10/05,13,19
806,2023/10/05,14,17
807,2023/10/05,15,18
808,2023/10/05,16,16
809,2023/10/05,17,21
810,2023/10/05,18,19
811,2023/10/05,19,18
812,2023/10/05,20,23
813,2023/10/05,21,17
814,2023/10/05,22,14
815,2023/10/05,23,13
816,2023/10/06,0,11
817,2023/10/06,1,9
818,2023/10/06,2,10
819,2023/10/06,3,12
820,2023/10/06,4,9
821,2023/10/06,5,11
822,2023/10/06,6,11
823,2023/10/06,7,12
824,2023/10/06,8,16
825,2023/10/06,9,16
826,2023/10/06,10,17
827,2023/10/06,11,15
828,2023/10/06,12,31
829,2023/10/06,13,29
830,2023/10/06,14,24
831,2023/10/06,15,13
832,2023/10/06,16,8
833,2023/10/06,17,8
834,2023/10/06,18,10
835,2023/10/06,19,10
836,2023/10/06,20,14
837,2023/10/06,21,9
838,2023/10/06,22,7
839,2023/10/06,23,5
840,2023/10/07,0,4
841,2023/10/07,1,4
842,2023/10/07,2,4
843,2023/10/07,3,5
844,2023/10/07,4,5
845,2023/10/07,5,5
846,2023/10/07,6,7
847,2023/10/07,7,11
848,2023/10/07,8,8
849,2023/10/07,9,6
850,2023/10/07,10,12
851,2023/10/07,11,18
852,2023/10/07,12,16
853,2023/10/07,13,20
854,2023/10/07,14,18
855,2023/10/07,15,17
856,2023/10/07,16,15
857,2023/10/07,17,15
858,2023/10/07,18,10
859,2023/10/07,19,7
860,2023/10/07,20,8
861,2023/10/07,21,7
862,2023/10/07,22,9
863,2023/10/07,23,7
864,2023/10/08,0,9
865,2023/10/08,1,8
866,2023/10/08,2,4
867,2023/10/08,3,3
868,2023/10/08,4,2
869,2023/10/08,5,6
870,2023/10/08,6,10
871,2023/10/08,7,8
872,2023/10/08,8,9
873,2023/10/08,9,5
874,2023/10/08,10,5
875,2023/10/08,11,7
876,2023/10/08,12,10
877,2023/10/08,13,12
878,2023/10/08,14,16
879,2023/10/08,15,10
880,2023/10/08,16,11
881,2023/10/08,17,8
882,2023/10/08,18,13
883,2023/10/08,19,16
884,2023/10/08,20,9
885,2023/10/08,21,10
886,2023/10/08,22,6
887,2023/10/08,23,10
888,2023/10/09,0,11
889,2023/10/09,1,9
890,2023/10/09,2,7
891,2023/10/09,3,4
892,2023/10/09,4,3
893,2023/10/09,5,7
894,2023/10/09,6,7
895,2023/10/09,7,10
896,2023/10/09,8,6
897,2023/10/09,9,12
898,2023/10/09,10,13
899,2023/10/09,11,16
900,2023/10/09,12,14
901,2023/10/09,13,21
902,2023/10/09,14,19
903,2023/10/09,15,19
904,2023/10/09,16,24
905,2023/10/09,17,15
906,2023/10/09,18,22
907,2023/10/09,19,13
908,2023/10/09,20,15
909,2023/10/09,21,12
910,2023/10/09,22,20
911,2023/10/09,23,23
912,2023/10/10,0,11
913,2023/10/10,1,16
914,2023/10/10,2,9
915,2023/10/10,3,11
916,2023/10/10,4,9
917,2023/10/10,5,10
918,2023/10/10,6,6
919,2023/10/10,7,14
920,2023/10/10,8,11
921,2023/10/10,9,11
922,2023/10/10,10,19
923,2023/10/10,11,16
924,2023/10/10,12,16
925,2023/10/10,13,19
926,2023/10/10,14,26
927,2023/10/10,15,23
928,2023/10/10,16,21
929,2023/10/10,17,17
930,2023/10/10,18,19
931,2023/10/10,19,21
932,2023/10/10,20,18
933,2023/10/10,21,12
934,2023/10/10,22,17
935,2023/10/10,23,20
936,2023/10/11,0,21
937,2023/10/11,1,18
938,2023/10/11,2,21
939,2023/10/11,3,14
940,2023/10/11,4,10
941,2023/10/11,5,8
942,2023/10/11,6,11
943,2023/10/11,7,11
944,2023/10/11,8,12
945,2023/10/11,9,13
946,2023/10/11,10,20
947,2023/10/11,11,21
948,2023/10/11,12,23
949,2023/10/11,13,22
950,2023/10/11,14,22
951,2023/10/11,15,20
952,2023/10/11,16,18
953,2023/10/11,17,22
954,2023/10/11,18,16
955,2023/10/11,19,19
956,2023/10/11,20,14
957,2023/10/11,21,13
958,2023/10/11,22,17
959,2023/10/11,23,14
960,2023/10/12,0,13
961,2023/10/12,1,13
962,2023/10/12,2,12
963,2023/10/12,3,9
964,2023/10/12,4,14
965,2023/10/12,5,13
966,2023/10/12,6,17
967,2023/10/12,7,12
968,2023/10/12,8,15
969,2023/10/12,9,14
970,2023/10/12,10,24
971,2023/10/12,11,18
972,2023/10/12,12,25
973,2023/10/12,13,20
974,2023/10/12,14,20
975,2023/10/12,15,17
976,2023/10/12,16,20
977,2023/10/12,17,24
978,2023/10/12,18,21
979,2023/10/12,19,26
980,2023/10/12,20,13
981,2023/10/12,21,15
982,2023/10/12,22,18
983,2023/10/12,23,23
984,2023/10/13,0,22
985,2023/10/13,1,19
986,2023/10/13,2,19
987,2023/10/13,3,17
988,2023/10/13,4,18
989,2023/10/13,5,17
990,2023/10/13,6,16
991,2023/10/13,7,21
992,2023/10/13,8,21
993,2023/10/13,9,21
994,2023/10/13,10,26
995,2023/10/13,11,26
996,2023/10/13,12,25
997,2023/10/13,13,26
998,2023/10/13,14,27
999,2023/10/13,15,32
1000,2023/10/13,16,18
1001,2023/10/13,17,23
1002,2023/10/13,18,21
1003,2023/10/13,19,24
1004,2023/10/13,20,22
1005,2023/10/13,21,18
1006,2023/10/13,22,23
1007,2023/10/13,23,24
1008,2023/10/14,0,26
1009,2023/10/14,1,25
1010,2023/10/14,2,17
1011,2023/10/14,3,17
1012,2023/10/14,4,15
1013,2023/10/14,5,17
1014,2023/10/14,6,19
1015,2023/10/14,7,18
1016,2023/10/14,8,18
1017,2023/10/14,9,18
1018,2023/10/14,10,29
1019,2023/10/14,11,29
1020,2023/10/14,12,26
1021,2023/10/14,13,21
1022,2023/10/14,14,21
1023,2023/10/14,15,21
1024,2023/10/14,16,18
1025,2023/10/14,17,23
1026,2023/10/14,18,28
1027,2023/10/14,19,27
1028,2023/10/14,20,26
1029,2023/10/14,21,30
1030,2023/10/14,22,34
1031,2023/10/14,23,32
1032,2023/10/15,0,33
1033,2023/10/15,1,33
1034,2023/10/15,2,34
1035,2023/10/15,3,28
1036,2023/10/15,4,36
1037,2023/10/15,5,26
1038,2023/10/15,6,19
1039,2023/10/15,7,21
1040,2023/10/15,8,25
1041,2023/10/15,9,24
1042,2023/10/15,10,25
1043,2023/10/15,11,22
1044,2023/10/15,12,34
1045,2023/10/15,13,29
1046,2023/10/15,14,23
1047,2023/10/15,15,31
1048,2023/10/15,16,37
1049,2023/10/15,17,32
1050,2023/10/15,18,35
1051,2023/10/15,19,39
1052,2023/10/15,20,32
1053,2023/10/15,21,33
1054,2023/10/15,22,33
1055,2023/10/15,23,33
1056,2023/10/16,0,32
1057,2023/10/16,1,32
1058,2023/10/16,2,33
1059,2023/10/16,3,27
1060,2023/10/16,4,33
1061,2023/10/16,5,37
1062,2023/10/16,6,32
1063,2023/10/16,7,31
1064,2023/10/16,8,36
1065,2023/10/16,9,30
1066,2023/10/16,10,30
1067,2023/10/16,11,34
